ID,Date,Time,Detector_Id,Occupancy,Volume,Speed_Sum,Speed_Obs,Configuration_Id,Available,Incident,Failed
3983068,09/04/2019,7:45:00,1097144,66,8,773,8,7071,TRUE,FALSE,FALSE
3983069,09/04/2019,7:45:20,1097144,90,9,768,9,7071,TRUE,FALSE,FALSE
3983070,09/04/2019,7:45:40,1097144,58,7,679,7,7071,TRUE,FALSE,FALSE
3983071,09/04/2019,7:46:00,1097144,34,4,375,4,7071,TRUE,FALSE,FALSE
3983072,09/04/2019,7:46:20,1097144,45,5,451,5,7071,TRUE,FALSE,FALSE
3983073,09/04/2019,7:46:40,1097144,34,4,393,4,7071,TRUE,FALSE,FALSE
3983074,09/04/2019,7:47:00,1097144,49,6,594,6,7071,TRUE,FALSE,FALSE
3983075,09/04/2019,7:47:20,1097144,79,9,833,9,7071,TRUE,FALSE,FALSE
3983076,09/04/2019,7:47:40,1097144,63,7,629,7,7071,TRUE,FALSE,FALSE
3983077,09/04/2019,7:48:00,1097144,79,9,833,9,7071,TRUE,FALSE,FALSE
3983078,09/04/2019,7:48:20,1097144,42,5,480,5,7071,TRUE,FALSE,FALSE
3983079,09/04/2019,7:48:40,1097144,81,8,728,8,7071,TRUE,FALSE,FALSE
3983080,09/04/2019,7:49:00,1097144,75,8,720,8,7071,TRUE,FALSE,FALSE
3983081,09/04/2019,7:49:20,1097144,37,4,349,4,7071,TRUE,FALSE,FALSE
3983082,09/04/2019,7:49:40,1097144,54,6,557,6,7071,TRUE,FALSE,FALSE
3983083,09/04/2019,7:50:00,1097144,55,5,473,5,7071,TRUE,FALSE,FALSE
3983084,09/04/2019,7:50:20,1097144,79,9,840,9,7071,TRUE,FALSE,FALSE
3983085,09/04/2019,7:50:40,1097144,71,7,608,7,7071,TRUE,FALSE,FALSE
3983086,09/04/2019,7:51:00,1097144,33,4,373,4,7071,TRUE,FALSE,FALSE
3983087,09/04/2019,7:51:20,1097144,82,9,814,9,7071,TRUE,FALSE,FALSE
3983088,09/04/2019,7:51:40,1097144,23,2,163,2,7071,TRUE,FALSE,FALSE
3983089,09/04/2019,7:52:00,1097144,69,7,587,7,7071,TRUE,FALSE,FALSE
3983090,09/04/2019,7:52:20,1097144,85,10,956,10,7071,TRUE,FALSE,FALSE
3983091,09/04/2019,7:52:40,1097144,34,4,386,4,7071,TRUE,FALSE,FALSE
3983092,09/04/2019,7:53:00,1097144,62,7,652,7,7071,TRUE,FALSE,FALSE
3983093,09/04/2019,7:53:20,1097144,25,3,295,3,7071,TRUE,FALSE,FALSE
3983094,09/04/2019,7:53:40,1097144,64,6,539,6,7071,TRUE,FALSE,FALSE
3983095,09/04/2019,7:54:00,1097144,41,5,481,5,7071,TRUE,FALSE,FALSE
3983096,09/04/2019,7:54:20,1097144,16,2,194,2,7071,TRUE,FALSE,FALSE
3983097,09/04/2019,7:54:40,1097144,60,6,562,6,7071,TRUE,FALSE,FALSE
3983098,09/04/2019,7:55:00,1097144,69,8,764,8,7071,TRUE,FALSE,FALSE
3983099,09/04/2019,7:55:20,1097144,47,5,448,5,7071,TRUE,FALSE,FALSE
3983100,09/04/2019,7:55:40,1097144,34,4,372,4,7071,TRUE,FALSE,FALSE
3983101,09/04/2019,7:56:00,1097144,35,4,370,4,7071,TRUE,FALSE,FALSE
3983102,09/04/2019,7:56:20,1097144,26,3,290,3,7071,TRUE,FALSE,FALSE
3983103,09/04/2019,7:56:40,1097144,33,4,379,4,7071,TRUE,FALSE,FALSE
3983104,09/04/2019,7:57:00,1097144,33,4,392,4,7071,TRUE,FALSE,FALSE
3983105,09/04/2019,7:57:20,1097144,44,5,467,5,7071,TRUE,FALSE,FALSE
3983106,09/04/2019,7:57:40,1097144,0,0,0,0,7071,TRUE,FALSE,FALSE
3983107,09/04/2019,7:58:00,1097144,43,5,478,5,7071,TRUE,FALSE,FALSE
3983108,09/04/2019,7:58:20,1097144,61,7,662,7,7071,TRUE,FALSE,FALSE
3983109,09/04/2019,7:58:40,1097144,51,6,585,6,7071,TRUE,FALSE,FALSE
3983110,09/04/2019,7:59:00,1097144,34,4,383,4,7071,TRUE,FALSE,FALSE
3983111,09/04/2019,7:59:20,1097144,48,6,604,6,7071,TRUE,FALSE,FALSE
3983112,09/04/2019,7:59:40,1097144,9,1,99,1,7071,TRUE,FALSE,FALSE
3983113,09/04/2019,8:00:00,1097144,41,5,482,5,7071,TRUE,FALSE,FALSE
3983114,09/04/2019,8:00:20,1097144,54,6,562,6,7071,TRUE,FALSE,FALSE
3983115,09/04/2019,8:00:40,1097144,40,5,485,5,7071,TRUE,FALSE,FALSE
3983116,09/04/2019,8:01:00,1097144,42,5,478,5,7071,TRUE,FALSE,FALSE
3983117,09/04/2019,8:01:20,1097144,45,5,458,5,7071,TRUE,FALSE,FALSE
3983118,09/04/2019,8:01:40,1097144,75,8,722,8,7071,TRUE,FALSE,FALSE
3983119,09/04/2019,8:02:00,1097144,47,5,443,5,7071,TRUE,FALSE,FALSE
3983120,09/04/2019,8:02:20,1097144,25,3,292,3,7071,TRUE,FALSE,FALSE
3983121,09/04/2019,8:02:40,1097144,29,3,264,3,7071,TRUE,FALSE,FALSE
3983122,09/04/2019,8:03:00,1097144,40,5,509,5,7071,TRUE,FALSE,FALSE
3983123,09/04/2019,8:03:20,1097144,60,7,674,7,7071,TRUE,FALSE,FALSE
3983124,09/04/2019,8:03:40,1097144,42,5,468,5,7071,TRUE,FALSE,FALSE
3983125,09/04/2019,8:04:00,1097144,72,8,736,8,7071,TRUE,FALSE,FALSE
3983126,09/04/2019,8:04:20,1097144,27,3,278,3,7071,TRUE,FALSE,FALSE
3983127,09/04/2019,8:04:40,1097144,48,6,581,6,7071,TRUE,FALSE,FALSE
3983128,09/04/2019,8:05:00,1097144,8,1,101,1,7071,TRUE,FALSE,FALSE
3983129,09/04/2019,8:05:20,1097144,9,1,84,1,7071,TRUE,FALSE,FALSE
3983130,09/04/2019,8:05:40,1097144,27,3,277,3,7071,TRUE,FALSE,FALSE
3983131,09/04/2019,8:06:00,1097144,15,2,212,2,7071,TRUE,FALSE,FALSE
3983132,09/04/2019,8:06:20,1097144,25,3,300,3,7071,TRUE,FALSE,FALSE
3983133,09/04/2019,8:06:40,1097144,15,2,213,2,7071,TRUE,FALSE,FALSE
3983134,09/04/2019,8:07:00,1097144,19,2,179,2,7071,TRUE,FALSE,FALSE
3983135,09/04/2019,8:07:20,1097144,38,5,512,5,7071,TRUE,FALSE,FALSE
3983136,09/04/2019,8:07:40,1097144,41,5,489,5,7071,TRUE,FALSE,FALSE
3983137,09/04/2019,8:08:00,1097144,41,5,481,5,7071,TRUE,FALSE,FALSE
3983138,09/04/2019,8:08:20,1097144,67,6,581,6,7071,TRUE,FALSE,FALSE
3983139,09/04/2019,8:08:40,1097144,18,2,190,2,7071,TRUE,FALSE,FALSE
3983140,09/04/2019,8:09:00,1097144,8,1,96,1,7071,TRUE,FALSE,FALSE
3983141,09/04/2019,8:09:20,1097144,32,4,380,4,7071,TRUE,FALSE,FALSE
3983142,09/04/2019,8:09:40,1097144,17,2,196,2,7071,TRUE,FALSE,FALSE
3983143,09/04/2019,8:10:00,1097144,44,5,473,5,7071,TRUE,FALSE,FALSE
3983144,09/04/2019,8:10:20,1097144,43,3,260,3,7071,TRUE,FALSE,FALSE
3983145,09/04/2019,8:10:40,1097144,30,4,422,4,7071,TRUE,FALSE,FALSE
3983146,09/04/2019,8:11:00,1097144,42,5,492,5,7071,TRUE,FALSE,FALSE
3983147,09/04/2019,8:11:20,1097144,26,3,286,3,7071,TRUE,FALSE,FALSE
3983148,09/04/2019,8:11:40,1097144,18,2,183,2,7071,TRUE,FALSE,FALSE
3983149,09/04/2019,8:12:00,1097144,72,8,712,8,7071,TRUE,FALSE,FALSE
3983150,09/04/2019,8:12:20,1097144,44,5,483,5,7071,TRUE,FALSE,FALSE
3983151,09/04/2019,8:12:40,1097144,45,5,451,5,7071,TRUE,FALSE,FALSE
